trade_date,ts_code,open,high,low,close,vol,trend_regime,vol_regime,state,y,hmm_state,hmm_state_label,hmm_p0,hmm_p1,hmm_p2,hmm_p3,hmm_p4
2021-05-11,601995.SH,41.6,42.87,41.57,42.54,21975046,T3,V4,S2,1,2.0,S5,2.3949533544159038e-32,2.068082245195312e-24,1.0,2.8406441490091075e-29,4.921060063854283e-29
2021-05-12,601995.SH,42.11,42.35,41.56,42.19,14725616,T3,V4,S2,1,2.0,S5,1.5105946649607212e-35,7.036824195243112e-24,1.0,1.4277655014162537e-32,6.894981355280507e-30
2021-05-13,601995.SH,41.71,42.57,41.66,41.99,14366572,T3,V4,S2,1,2.0,S5,7.2858582291830775e-37,4.6588442432112164e-23,1.0,3.945187432372836e-36,8.555445889860031e-31
2021-05-14,601995.SH,42.15,46.19,42.1,46.19,46190796,T2,V4,S4,1,2.0,S5,6.650002973738244e-38,1.3197030566648228e-22,1.0,9.675100263088675e-33,9.371512977362252e-30
2021-05-17,601995.SH,46.19,49.91,46.01,48.58,61123320,T2,V3,S4,1,2.0,S5,1.0746653120433783e-40,3.7565445848494076e-19,1.0,2.8589416744133125e-19,6.80835636195033e-23
2021-05-18,601995.SH,47.75,49.28,47.2,48.16,31489883,T2,V3,S4,1,2.0,S5,1.0658925140507665e-47,3.323938270864998e-19,1.0,1.5751669657310204e-14,3.233234847647764e-24
2021-05-19,601995.SH,48.0,49.99,47.8,48.81,32030483,T4,V4,S4,1,2.0,S5,1.5532466679516784e-54,6.70397842653423e-20,1.0,5.388363633840837e-14,2.9925569887851756e-31
2021-05-20,601995.SH,48.65,52.48,48.62,51.06,48879215,UNK,V4,S5,1,2.0,S5,1.785845834200326e-65,9.679033954166215e-20,1.0,5.043353322360784e-15,8.879354437799004e-40
2021-05-21,601995.SH,50.83,51.58,49.69,51.16,30871387,UNK,V3,S5,1,2.0,S5,3.486145767881856e-82,4.338965488472569e-25,1.0,4.0612848101064285e-14,3.7712447446676905e-46
2021-05-24,601995.SH,50.8,55.99,50.8,54.28,47401803,UNK,V4,S5,1,2.0,S5,7.537895179126382e-110,2.693598637880896e-40,1.0,2.6969268098685075e-18,2.2787239933482346e-75
2021-05-25,601995.SH,53.69,59.71,53.36,59.71,63474481,UNK,V3,S5,1,2.0,S5,5.652808234483857e-171,1.8150990236751207e-50,1.0,1.2386977160681336e-32,1.946532342536108e-114
2021-05-26,601995.SH,61.88,63.67,59.75,59.77,82514692,UNK,V3,S5,0,2.0,S5,1.7049003405757682e-241,4.1527258121471215e-64,1.0,3.426352638720388e-37,1.9136252395385382e-124
2021-05-27,601995.SH,58.91,60.78,57.7,60.0,51162183,UNK,V4,S5,0,2.0,S5,1.449201964579893e-271,7.885618867658474e-69,1.0,1.0133360472677224e-44,1.0432912868041089e-137
2021-05-28,601995.SH,59.13,61.5,58.61,59.5,49219080,UNK,V4,S5,1,2.0,S5,2.5482316183145056e-292,4.947527986919502e-78,1.0,1.4942882625309076e-46,7.355894641529733e-137
2021-05-31,601995.SH,59.67,62.57,58.56,62.0,42250881,T1,V4,S1,0,2.0,S5,5.95005148296656e-300,2.2044592783271794e-76,1.0,2.035401377596964e-54,1.7506879848401674e-148
